Id,Name,IsDeleted,CreatedDate,LastModifiedDate,SystemModstamp,LastViewedDate,LastReferencedDate,HealthCloudGA__Active__c,HealthCloudGA__ConditionCode__c,HealthCloudGA__HCCCode__c,HealthCloudGA__ValidFrom__c,HealthCloudGA__ValidThrough__c,HealthCloudGA__YearConditionCodeHCCCode__c
a0x3h000000vRdAAAU,Map-0,false,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,,,true,B20,HCC1,2014,,B20HCC12014
a0x3h000000vRdBAAU,Map-1,false,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,,,true,B9735,HCC1,2014,,B9735HCC12014
a0x3h000000vRdCAAU,Map-2,false,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,,,true,Z21,HCC1,2014,,Z21HCC12014
a0x3h000000vRdDAAU,Map-3,false,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,,,true,C4000,HCC10,2014,,C4000HCC102014
a0x3h000000vRdEAAU,Map-4,false,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,,,true,C4001,HCC10,2014,,C4001HCC102014
a0x3h000000vRdFAAU,Map-5,false,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,,,true,C4002,HCC10,2014,,C4002HCC102014
a0x3h000000vRdGAAU,Map-6,false,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,,,true,C4010,HCC10,2014,,C4010HCC102014
a0x3h000000vRdHAAU,Map-7,false,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,,,true,C4011,HCC10,2014,,C4011HCC102014
a0x3h000000vRdIAAU,Map-8,false,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,,,true,C4012,HCC10,2014,,C4012HCC102014
a0x3h000000vRdJAAU,Map-9,false,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,,,true,C4020,HCC10,2014,,C4020HCC102014
a0x3h000000vRdKAAU,Map-10,false,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,,,true,C4021,HCC10,2014,,C4021HCC102014
a0x3h000000vRdLAAU,Map-11,false,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,,,true,C4022,HCC10,2014,,C4022HCC102014
a0x3h000000vRdMAAU,Map-12,false,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,,,true,C4030,HCC10,2014,,C4030HCC102014
a0x3h000000vRdNAAU,Map-13,false,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,,,true,C4031,HCC10,2014,,C4031HCC102014
a0x3h000000vRdOAAU,Map-14,false,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,,,true,C4032,HCC10,2014,,C4032HCC102014
a0x3h000000vRdPAAU,Map-15,false,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,,,true,C4080,HCC10,2014,,C4080HCC102014
